id,borrower_tag,first_name,last_name,address_line1,city,state,zip_code
c6173470-9ccd-55f6-8265-d53b102c4bb7,B-0000012160,Monica,Williams,563 Garcia Mills,Adamsstad,Arkansas,31500
5b304dfb-de23-5b96-98f5-0b59b4cc33af,B-0000135C65,Valerie,Bird,50041 Stevens Shores,Brandiville,Wyoming,93241
802f9fdf-74dd-5f5c-a685-5d46ab633d95,B-00005D3F96,Marcus,Taylor,160 Shaw Via,Perryview,Kentucky,76166
941f0559-2259-5abf-b7d6-53d7c8772269,B-0000714F14,Marisa,Grant,548 Sandra Mount,West Deborahview,Kentucky,45537
b7db2141-6abb-5bd6-9446-5843ba414067,B-000084D371,Benjamin,Perry,655 West Knoll Apt. 049,Mannberg,South Carolina,41569
22341004-037e-533c-861c-f6bc795a76ce,B-0000C4C4FF,Nicholas,Rivera,231 Jones Parkway,West Staceytown,New Mexico,2316
38ff8be7-938a-5949-b956-e803ef65eaa1,B-0000CD5952,Scott,Myers,8824 Cynthia Vista Apt. 120,Colefort,Rhode Island,69136
d2117545-c745-5ef4-8d67-7f4abb5e1ea0,B-0000D1EC1F,Sarah,Harris,505 Mccarthy Bypass,Kimmouth,Texas,18608
f88e8ea4-26e3-5bec-8740-41a94f90433c,B-0000ED3EB1,John,Cameron,035 Diaz Drives Apt. 084,Leblancburgh,Pennsylvania,61853
211f06ff-3c41-5eac-a864-57a2513da77b,B-0000F1A074,Jerry,Rodriguez,7769 Erika Mall,Ellenmouth,New Hampshire,7347
e2624eaf-651f-500a-a3ca-4cabe1f12492,B-000153EE52,Abigail,Lee,68407 Anthony Greens Suite 871,Cynthiahaven,Texas,24976
7fd4b023-3b4e-58b6-b376-7942ef5be6b6,B-0001B54BBC,Tamara,Foster,44579 Patterson Court Suite 217,New Kimberlyberg,Michigan,38881
5e6ddcb2-421f-535b-b9fc-49d19b453b82,B-000228D2C4,Deanna,Dean,069 Shields Forge Suite 562,Boyleville,Ohio,36835
70da9e38-540c-57d5-b6b3-cb28447a735e,B-00022E6750,Erika,Rosario,2452 Ortega Ferry Apt. 350,Kathleenmouth,Alabama,24007
f0b8b401-3c08-5050-ae9b-9bd250e427e3,B-00026419AB,Molly,Luna,7651 Brittney Light Suite 566,Lake Laura,Alaska,47718
699f9ff7-2e17-5f9c-9fb7-8be4f86dedf3,B-000353E5DA,Lisa,Johnson,108 Kevin View,Andreville,Indiana,8982
3222ca1c-61ed-5f3f-b8ca-2ea0e5e2c2ea,B-00035BD2FF,Virginia,Carr,12291 Mark Inlet,Susanstad,Nevada,3022
b824a2a8-3673-5699-b094-2fad794e98ca,B-0003877C25,Eric,Jacobs,148 Jenny Walks Apt. 683,North Jesse,Illinois,49097
63d559fc-958a-5ecf-aa7e-459f175d9e07,B-00039408BA,Bryan,Burns,177 Ashley Inlet,North Josephchester,California,81058
